Dataset_Size,Precision,Recall,F1-Score,Accuracy,Processing_Time_sec
630,0.09090909090909091,0.014182692307692308,0.024537325847369514,0.8852635440870735,0.07963800430297852
629,0.060092449922958396,0.009375,0.01621958827199002,0.8841009309162176,0.06351494789123535
628,0.060092449922958396,0.009375,0.01621958827199002,0.8839160839160839,0.07423949241638184
627,0.08936825885978428,0.013942307692307693,0.02412143896860054,0.884664536741214,0.05988597869873047
626,0.061633281972265024,0.009615384615384616,0.016635475150758992,0.8835938461538462,0.08045029640197754
625,0.11882716049382716,0.018509615384615385,0.03202995008319468,0.8852564102564102,0.07944369316101074
624,0.08641975308641975,0.013461538461538462,0.023294509151414306,0.884035066057538,0.09572625160217285
623,0.09244992295839753,0.014423076923076924,0.024953212726138492,0.8840217660153351,0.12704706192016602
622,0.0594679186228482,0.009424603174603174,0.01627060586598159,0.8843850644122383,0.09949254989624023
621,0.09076682316118936,0.014384920634920634,0.024834082637550842,0.8852066532258065,0.06322073936462402
620,0.11164274322169059,0.017921146953405017,0.030884623869402165,0.8873503089981281,0.11127257347106934
619,0.11164274322169059,0.017921146953405017,0.030884623869402165,0.8871680279447269,0.09595847129821777
618,0.0890302066772655,0.014336917562724014,0.024696802646085998,0.8862133724370354,0.11121463775634766
617,0.0890302066772655,0.014336917562724014,0.024696802646085998,0.8860286538857968,0.11018013954162598
616,0.06507936507936508,0.010496671786994368,0.018077601410934743,0.8850432313846948,0.09516334533691406
615,0.06349206349206349,0.010240655401945725,0.01763668430335097,0.8848043017424125,0.0794839859008789
614,0.06349206349206349,0.010240655401945725,0.01763668430335097,0.8846163805380771,0.09495139122009277
613,0.06349206349206349,0.010240655401945725,0.01763668430335097,0.8844278452121589,0.07949686050415039
612,0.0890302066772655,0.014336917562724014,0.024696802646085998,0.8850959914789702,0.11179804801940918
611,0.09062003179650238,0.014592933947772658,0.025137816979051823,0.88495966692688,0.09882378578186035
610,0.06200317965023847,0.009984639016897081,0.017199558985667034,0.88383246018714,0.06380748748779297
609,0.09365079365079365,0.015104966717869943,0.026014109347442683,0.8846595655806182,0.11154651641845703
608,0.09062003179650238,0.014592933947772658,0.025137816979051823,0.8843910985591381,0.09542417526245117
607,0.09062003179650238,0.014592933947772658,0.025137816979051823,0.8842003247943842,0.07959747314453125
606,0.1192368839427663,0.019201228878648235,0.03307607497243661,0.8849534304079759,0.06492400169372559
605,0.09062003179650238,0.014592933947772658,0.025137816979051823,0.883816882161253,0.06349420547485352
604,0.09062003179650238,0.014592933947772658,0.025137816979051823,0.8836242070072916,0.06340765953063965
603,0.09062003179650238,0.014592933947772658,0.025137816979051823,0.8834308917365395,0.06372904777526855
602,0.06507936507936508,0.010496671786994368,0.018077601410934743,0.8823653698861685,0.11229729652404785
601,0.06677265500794913,0.010752688172043012,0.0185226019845645,0.8822486772486773,0.10620856285095215
600,0.1467304625199362,0.023553507424475168,0.04059121994264284,0.8847550149720433,0.08240127563476562
599,0.14968152866242038,0.024065540194572452,0.04146449051610058,0.8846419281201889,0.08001255989074707
598,0.14513556618819776,0.023297491039426525,0.04015001103022282,0.884315758687618,0.09599065780639648
597,0.06518282988871224,0.010496671786994368,0.018081587651598677,0.8814051347608395,0.11712980270385742
596,0.11942675159235669,0.019201228878648235,0.03308337009263344,0.883046551954115,0.11220526695251465
595,0.09379968203497616,0.015104966717869943,0.026019845644983462,0.8819678264122709,0.08346915245056152
594,0.1779935275080906,0.02908514013749339,0.05,0.886308001958331,0.07411670684814453
593,0.06623586429725363,0.010840824960338445,0.018632129061576914,0.8823289014821273,0.04823923110961914
592,0.09369951534733441,0.015335801163405606,0.02635764598954783,0.8830576933573495,0.07449531555175781
591,0.06462035541195477,0.010576414595452142,0.01817768688934333,0.8818753417167852,0.09555339813232422
590,0.06623586429725363,0.010840824960338445,0.018632129061576914,0.8817295580261789,0.06877803802490234
589,0.06623586429725363,0.010840824960338445,0.018632129061576914,0.8815284178187404,0.06236720085144043
588,0.06623586429725363,0.010840824960338445,0.018632129061576914,0.8813265922954333,0.07452011108398438
587,0.06623586429725363,0.010840824960338445,0.018632129061576914,0.8811240779478146,0.06392288208007812
586,0.06623586429725363,0.010840824960338445,0.018632129061576914,0.8809208712434519,0.11214447021484375
585,0.09369951534733441,0.015335801163405606,0.02635764598954783,0.8816559876270438,0.1020352840423584
584,0.06774193548387097,0.01110523532522475,0.019082235347569285,0.880540032092071,0.0695805549621582
583,0.06774193548387097,0.01110523532522475,0.019082235347569285,0.8803347744152533,0.061060190200805664
582,0.06774193548387097,0.01110523532522475,0.019082235347569285,0.8801288101715619,0.06318950653076172
581,0.06774193548387097,0.01110523532522475,0.019082235347569285,0.8799221357063404,0.04802656173706055
580,0.03870967741935484,0.006345848757271285,0.010904134484325307,0.8787119059557635,0.06202054023742676
579,0.06774193548387097,0.01110523532522475,0.019082235347569285,0.8795066413662239,0.05837297439575195
578,0.06774193548387097,0.01110523532522475,0.019082235347569285,0.8792978140549003,0.06942296028137207
577,0.03870967741935484,0.006345848757271285,0.010904134484325307,0.8780801971326165,0.07953381538391113
576,0.03870967741935484,0.006345848757271285,0.010904134484325307,0.8778681626928472,0.0737924575805664
575,0.06774193548387097,0.01110523532522475,0.019082235347569285,0.8786669663931662,0.09602952003479004
574,0.06774193548387097,0.01110523532522475,0.019082235347569285,0.8784552158982154,0.09583139419555664
573,0.03870967741935484,0.006345848757271285,0.010904134484325307,0.8772276110985788,0.07937955856323242
572,0.03870967741935484,0.006345848757271285,0.010904134484325307,0.8770125981582961,0.13021135330200195
571,0.03870967741935484,0.006345848757271285,0.010904134484325307,0.876796830786644,0.06602740287780762
570,0.03870967741935484,0.006345848757271285,0.010904134484325307,0.8765803050059527,0.07065963745117188
569,0.03934426229508197,0.006557377049180328,0.011241217798594848,0.8781459247287001,0.06408405303955078
568,0.06885245901639345,0.011475409836065573,0.019672131147540985,0.8789718680429063,0.12815451622009277
567,0.06885245901639345,0.011475409836065573,0.019672131147540985,0.878758037421074,0.08789515495300293
566,0.06885245901639345,0.011475409836065573,0.019672131147540985,0.8785434498766865,0.11133718490600586
565,0.06885245901639345,0.011475409836065573,0.019672131147540985,0.8783281013835601,0.08562994003295898
